"label"	"tax"
"tax1"	"Streptomycetaceae"
"tax2"	"Streptomyces"
"tax3"	"Nitrobacteraceae"
"tax4"	"Sphingomonadaceae"
"tax5"	"Bradyrhizobium"
"tax6"	"Pseudomonadaceae"
"tax7"	"Pseudomonas"
"tax8"	"Microbacteriaceae"
"tax9"	"Burkholderiaceae"
"tax10"	"Micromonosporaceae"
"tax11"	"Mycobacteriaceae"
"tax12"	"Sphingomonas"
"tax13"	"Xanthomonadaceae"
"tax14"	"Pseudonocardiaceae"
"tax15"	"Comamonadaceae"
"tax16"	"Nocardioidaceae"
"tax17"	"Nocardioides"
"tax18"	"Rhizobiaceae"
"tax19"	"Phyllobacteriaceae"
"tax20"	"Micromonospora"
"tax21"	"Mycobacterium"
"tax22"	"Mycolicibacterium"
"tax23"	"Nocardiaceae"
"tax24"	"Oxalobacteraceae"
"tax25"	"Mesorhizobium"
"tax26"	"Caulobacteraceae"
"tax27"	"Microbacterium"
"tax28"	"Methylobacteriaceae"
"tax29"	"Burkholderia"
"tax30"	"Micrococcaceae"
"tax31"	"Lysobacter"
"tax32"	"Amycolatopsis"
"tax33"	"Paracoccaceae"
"tax34"	"Variovorax"
"tax35"	"Alcaligenaceae"
"tax36"	"Erythrobacteraceae"
"tax37"	"Rhizobium"
"tax38"	"Flavobacteriaceae"
"tax39"	"Luteitalea"
"tax40"	"Vicinamibacteraceae"
"tax41"	"Cellulomonadaceae"
"tax42"	"Rhodanobacteraceae"
"tax43"	"Methylobacterium"
"tax44"	"Paraburkholderia"
"tax45"	"Roseobacteraceae"
"tax46"	"Polyangiaceae"
"tax47"	"Sphaerotilaceae"
"tax48"	"Cupriavidus"
"tax49"	"Rhodococcus"
"tax50"	"Acidobacteriaceae"
"tax51"	"Pseudonocardia"
"tax52"	"Gemmataceae"
"tax53"	"Conexibacter"
"tax54"	"Conexibacteraceae"
"tax55"	"Cellulomonas"
"tax56"	"Acetobacteraceae"
"tax57"	"Iamiaceae"
"tax58"	"Azospirillaceae"
"tax59"	"Nocardia"
"tax60"	"Chitinophagaceae"
"tax61"	"Gemmatimonadaceae"
"tax62"	"Xanthobacteraceae"
"tax63"	"Actinoplanes"
"tax64"	"Arthrobacter"
"tax65"	"Halomonadaceae"
"tax66"	"Massilia"
"tax67"	"Propionibacteriaceae"
"tax68"	"Corynebacteriaceae"
"tax69"	"Corynebacterium"
"tax70"	"Xanthomonas"
"tax71"	"Rubrobacter"
"tax72"	"Rubrobacteraceae"
"tax73"	"Hyphomicrobiaceae"
"tax74"	"Devosiaceae"
"tax75"	"Sorangium"
"tax76"	"Sphingopyxis"
"tax77"	"Enterobacteriaceae"
"tax78"	"Caulobacter"
"tax79"	"Streptosporangiaceae"
"tax80"	"Paenibacillaceae"
"tax81"	"Zoogloeaceae"
"tax82"	"Geodermatophilaceae"
"tax83"	"Streptococcaceae"
"tax84"	"Stenotrophomonas"
"tax85"	"Sphingobium"
"tax86"	"Streptococcus"
"tax87"	"Halomonas"
"tax88"	"Thermomonosporaceae"
"tax89"	"Brevundimonas"
"tax90"	"Planctomycetaceae"
"tax91"	"Sphingobacteriaceae"
"tax92"	"Myxococcaceae"
"tax93"	"Azospirillum"
"tax94"	"Gemmatirosa"
"tax95"	"Baekduia"
"tax96"	"Baekduiaceae"
"tax97"	"Gordoniaceae"
"tax98"	"Devosia"
"tax99"	"Thiobacillaceae"
"tax100"	"Gordonia"
"tax101"	"Paracoccus"
"tax102"	"Agromyces"
"tax103"	"Bosea"
"tax104"	"Boseaceae"
"tax105"	"Opitutaceae"
"tax106"	"Curtobacterium"
"tax107"	"Achromobacter"
"tax108"	"Actinomadura"
"tax109"	"Isosphaeraceae"
"tax110"	"Flavobacterium"
"tax111"	"Hymenobacteraceae"
"tax112"	"Paenibacillus"
"tax113"	"Thiobacillus"
"tax114"	"Usitatibacter"
"tax115"	"Usitatibacteraceae"
"tax116"	"Anaeromyxobacter"
"tax117"	"Anaeromyxobacteraceae"
"tax118"	"Dactylosporangium"
"tax119"	"Actinomycetaceae"
"tax120"	"Bordetella"
"tax121"	"Hydrogenophaga"
"tax122"	"Archangiaceae"
"tax123"	"Novosphingobium"
"tax124"	"Pirellulaceae"
"tax125"	"Rhodospirillaceae"
"tax126"	"Intrasporangiaceae"
"tax127"	"Ectothiorhodospiraceae"
"tax128"	"Nonomuraea"
"tax129"	"Pseudoxanthomonas"
"tax130"	"Nocardiopsaceae"
"tax131"	"Capillimicrobiaceae"
"tax132"	"Capillimicrobium"
"tax133"	"Sinorhizobium"
"tax134"	"Bacillaceae"
"tax135"	"Haloarculaceae"
"tax136"	"Methylocystaceae"
"tax137"	"Microvirga"
"tax138"	"Rhodoplanes"
"tax139"	"Rhodopseudomonas"
"tax140"	"Luteimonas"
"tax141"	"Haloferacaceae"
"tax142"	"Hymenobacter"
"tax143"	"Promicromonosporaceae"
"tax144"	"Methylococcaceae"
"tax145"	"Acidiferrobacteraceae"
"tax146"	"Rhodanobacter"
"tax147"	"Aeromicrobium"
"tax148"	"Aurantimonadaceae"
"tax149"	"Iamia"
"tax150"	"Deinococcaceae"
"tax151"	"Deinococcus"
"tax152"	"Sphingosinicellaceae"
"tax153"	"Phenylobacterium"
"tax154"	"Lacipirellulaceae"
"tax155"	"Geobacteraceae"
"tax156"	"Natrialbaceae"
"tax157"	"Enhydrobacter"
"tax158"	"Frankiaceae"
"tax159"	"Caballeronia"
"tax160"	"Saccharopolyspora"
"tax161"	"Roseomonas"
"tax162"	"Gemmata"
"tax163"	"Kitasatospora"
"tax164"	"Ramlibacter"
"tax165"	"Sandaracinaceae"
"tax166"	"Sandaracinus"
"tax167"	"Ornithinimicrobiaceae"
"tax168"	"Desulfovibrionaceae"
"tax169"	"Chromatiaceae"
"tax170"	"Erythrobacter"
"tax171"	"Kribbella"
"tax172"	"Kribbellaceae"
"tax173"	"Dermabacteraceae"
"tax174"	"Chromobacteriaceae"
"tax175"	"Rhodocyclaceae"
"tax176"	"Comamonas"
"tax177"	"Miltoncostaea"
"tax178"	"Miltoncostaeaceae"
"tax179"	"Gemmatimonas"
"tax180"	"Actinomyces"
"tax181"	"Aeromonadaceae"
"tax182"	"Pseudolabrys"
"tax183"	"Mucilaginibacter"
"tax184"	"Brachybacterium"
"tax185"	"Blastococcus"
"tax186"	"Yersiniaceae"
"tax187"	"Pseudoduganella"
